id,sahihName,BookNameEn,BookNameAr,TrBookName
1,Sahih al-Bukhari,Revelation,كتاب بدء الوحى,
2,Sahih al-Bukhari,Belief,كتاب الإيمان,
3,Sahih al-Bukhari,Knowledge,كتاب العلم,
4,Sahih al-Bukhari,Ablutions (Wudu'),كتاب الوضوء,
5,Sahih al-Bukhari,Bathing (Ghusl),كتاب الغسل,
6,Sahih al-Bukhari,Menstrual Periods,كتاب الحيض,
7,Sahih al-Bukhari,Rubbing hands and feet with dust (Tayammum),كتاب التيمم,
8,Sahih al-Bukhari,Prayers (Salat),كتاب الصلاة,
9,Sahih al-Bukhari,Times of the Prayers,كتاب مواقيت الصلاة,
10,Sahih al-Bukhari,Call to Prayers (Adhaan),كتاب الأذان,
11,Sahih al-Bukhari,Friday Prayer,كتاب الجمعة,
12,Sahih al-Bukhari,Fear Prayer,كتاب صلاة الخوف,
13,Sahih al-Bukhari,The Two Festivals (Eids),كتاب العيدين,
14,Sahih al-Bukhari,Witr Prayer,كتاب الوتر,
15,Sahih al-Bukhari,Invoking Allah for Rain (Istisqaa),كتاب الاستسقاء,
16,Sahih al-Bukhari,Eclipses,كتاب الكسوف,
17,Sahih al-Bukhari,Prostration During Recital of Qur'an,كتاب سجود القرآن,
18,Sahih al-Bukhari,Shortening the Prayers (At-Taqseer),كتاب التقصير,
19,Sahih al-Bukhari,Prayer at Night (Tahajjud),كتاب التهجد,
20,Sahih al-Bukhari,Virtues of Prayer at Masjid Makkah and Madinah,كتاب فضل الصلاة فى مسجد مكة والمدينة,
21,Sahih al-Bukhari,Actions while Praying,كتاب العمل فى الصلاة,
22,Sahih al-Bukhari,Forgetfulness in Prayer,كتاب السهو,
23,Sahih al-Bukhari,Funerals (Al-Janaa'iz),كتاب الجنائز,
24,Sahih al-Bukhari,Obligatory Charity Tax (Zakat),كتاب الزكاة,
25,Sahih al-Bukhari,Hajj (Pilgrimage),كتاب الحج,
26,Sahih al-Bukhari,`Umrah (Minor pilgrimage),كتاب العمرة,
27,Sahih al-Bukhari,Pilgrims Prevented from Completing the Pilgrimage,كتاب المحصر,
28,Sahih al-Bukhari,Penalty of Hunting while on Pilgrimage,كتاب جزاء الصيد,
29,Sahih al-Bukhari,Virtues of Madinah,كتاب فضائل المدينة,
30,Sahih al-Bukhari,Fasting,كتاب الصوم,
31,Sahih al-Bukhari,Praying at Night in Ramadaan (Taraweeh),كتاب صلاة التراويح,
32,Sahih al-Bukhari,Virtues of the Night of Qadr,كتاب فضل ليلة القدر,
33,Sahih al-Bukhari,Retiring to a Mosque for Remembrance of Allah (I'tikaf),كتاب الاعتكاف,
34,Sahih al-Bukhari,Sales and Trade,كتاب البيوع,
35,Sahih al-Bukhari,Sales in which a Price is paid for Goods to be Delivered Later (As-Salam),كتاب السلم,
36,Sahih al-Bukhari,Shuf'a,كتاب الشفعة,
37,Sahih al-Bukhari,Hiring,كتاب الإجارة,
38,Sahih al-Bukhari,Transferance of a Debt from One Person to Another (Al-Hawaala),كتاب الحوالات,
39,Sahih al-Bukhari,Kafalah,كتاب الكفالة,
40,Sahih al-Bukhari,"Representation, Authorization, Business by Proxy",كتاب الوكالة,
41,Sahih al-Bukhari,Agriculture,كتاب المزارعة,
42,Sahih al-Bukhari,Distribution of Water,كتاب المساقاة,
43,Sahih al-Bukhari,"Loans, Payment of Loans, Freezing of Property, Bankruptcy",كتاب فى الاستقراض,
44,Sahih al-Bukhari,Khusoomaat,كتاب الخصومات,
45,Sahih al-Bukhari,Lost Things Picked up by Someone (Luqatah),كتاب فى اللقطة,
46,Sahih al-Bukhari,Oppressions,كتاب المظالم,
47,Sahih al-Bukhari,Partnership,كتاب الشركة,
48,Sahih al-Bukhari,Mortgaging,كتاب الرهن,
49,Sahih al-Bukhari,Manumission of Slaves,كتاب العتق,
50,Sahih al-Bukhari,Makaatib,كتاب المكاتب,
51,Sahih al-Bukhari,Gifts,كتاب الهبة وفضلها والتحريض عليها,
52,Sahih al-Bukhari,Witnesses,كتاب الشهادات,
53,Sahih al-Bukhari,Peacemaking,كتاب الصلح,
54,Sahih al-Bukhari,Conditions,كتاب الشروط,
55,Sahih al-Bukhari,Wills and Testaments (Wasaayaa),كتاب الوصايا,
56,Sahih al-Bukhari,Fighting for the Cause of Allah (Jihaad),كتاب الجهاد والسير,
