id,sahihName,BookNameEn,BookNameAr,TrBookName
1,Sahih Muslim,The Book of Faith,كتاب الإيمان,
2,Sahih Muslim,The Book of Purification,كتاب الطهارة,
3,Sahih Muslim,The Book of Menstruation,كتاب الحيض,
4,Sahih Muslim,The Book of Prayers,كتاب الصلاة,
5,Sahih Muslim,The Book of Mosques and Places of Prayer,كتاب المساجد ومواضع الصلاة,
6,Sahih Muslim,The Book of Prayer - Travellers,كتاب صلاة المسافرين وقصرها,
7,Sahih Muslim,The Book of Prayer - Friday,كتاب الجمعة,
8,Sahih Muslim,The Book of Prayer - Two Eids,كتاب صلاة العيدين,
9,Sahih Muslim,The Book of Prayer - Rain,كتاب صلاة الاستسقاء‏,
10,Sahih Muslim,The Book of Prayer - Eclipses,كتاب الكسوف,
11,Sahih Muslim,The Book of Prayer - Funerals,كتاب الجنائز,
12,Sahih Muslim,The Book of Zakat,كتاب الزكاة,
13,Sahih Muslim,The Book of Fasting,كتاب الصيام,
14,Sahih Muslim,The Book of I'tikaf,كتاب الاعتكاف,
15,Sahih Muslim,The Book of Pilgrimage,كتاب الحج,
16,Sahih Muslim,The Book of Marriage,كتاب النكاح,
17,Sahih Muslim,The Book of Suckling,كتاب الرضاع,
18,Sahih Muslim,The Book of Divorce,كتاب الطلاق,
19,Sahih Muslim,The Book of Invoking Curses,كتاب اللعان,
20,Sahih Muslim,The Book of Emancipating Slaves,كتاب العتق,
21,Sahih Muslim,The Book of Transactions,كتاب البيوع,
22,Sahih Muslim,The Book of Musaqah,كتاب المساقاة,
23,Sahih Muslim,The Book of the Rules of Inheritance,كتاب الفرائض,
24,Sahih Muslim,The Book of Gifts,كتاب الهبات,
25,Sahih Muslim,The Book of Wills,كتاب الوصية,
26,Sahih Muslim,The Book of Vows,كتاب النذر,
27,Sahih Muslim,The Book of Oaths,كتاب الأيمان,
28,Sahih Muslim,"The Book of Oaths, Muharibin, Qasas (Retaliation), and Diyat (Blood Money)",كتاب القسامة والمحاربين والقصاص والديات,
29,Sahih Muslim,The Book of Legal Punishments,كتاب الحدود,
30,Sahih Muslim,The Book of Judicial Decisions,كتاب الأقضية,
31,Sahih Muslim,The Book of Lost Property,كتاب اللقطة,
32,Sahih Muslim,The Book of Jihad and Expeditions,كتاب الجهاد والسير,
33,Sahih Muslim,The Book on Government,كتاب الإمارة,
34,Sahih Muslim,"The Book of Hunting, Slaughter, and what may be Eaten",كتاب الصيد والذبائح وما يؤكل من الحيوان,
35,Sahih Muslim,The Book of Sacrifices,كتاب الأضاحى,
36,Sahih Muslim,The Book of Drinks,كتاب الأشربة,
37,Sahih Muslim,The Book of Clothes and Adornment,كتاب اللباس والزينة,
38,Sahih Muslim,The Book of Manners and Etiquette,كتاب الآداب,
39,Sahih Muslim,The Book of Greetings,كتاب السلام,
40,Sahih Muslim,The Book Concerning the Use of Correct Words,كتاب الألفاظ من الأدب وغيرها,
41,Sahih Muslim,The Book of Poetry,كتاب الشعر,
42,Sahih Muslim,The Book of Dreams,كتاب الرؤيا,
43,Sahih Muslim,The Book of Virtues,كتاب الفضائل,
44,Sahih Muslim,The Book of the Merits of the Companions,كتاب فضائل الصحابة رضى الله تعالى عنهم,
45,Sahih Muslim,"The Book of Virtue, Enjoining Good Manners, and Joining of the Ties of Kinship",كتاب البر والصلة والآداب,
46,Sahih Muslim,The Book of Destiny,كتاب القدر,
47,Sahih Muslim,The Book of Knowledge,كتاب العلم,
48,Sahih Muslim,"The Book Pertaining to the Remembrance of Allah, Supplication, Repentance and Seeking Forgiveness",كتاب الذكر والدعاء والتوبة والاستغفار,
49,Sahih Muslim,The Book of Heart-Melting Traditions,كتاب الرقاق,
50,Sahih Muslim,The Book of Repentance,كتاب التوبة,
51,Sahih Muslim,Characteristics of The Hypocrites And Rulings Concerning Them,كتاب صفات المنافقين وأحكامهم,
52,Sahih Muslim,"Characteristics of the Day of Judgment, Paradise, and Hell",كتاب صفة القيامة والجنة والنار,
53,Sahih Muslim,"The Book of Paradise, its Description, its Bounties and its Inhabitants",كتاب الجنة وصفة نعيمها وأهلها,
54,Sahih Muslim,The Book of Tribulations and Portents of the Last Hour,كتاب الفتن وأشراط الساعة,
55,Sahih Muslim,The Book of Zuhd and Softening of Hearts,كتاب الزهد والرقائق,
56,Sahih Muslim,The Book of Commentary on the Qur'an,كتاب التفسير,
